Time,AE Data,EC Data,Mech Data,Output
364.5037725,29163.8024,1.63E-06,0.090266467,0
365.5057738,29283.72024,1.62E-06,0.088719019,0
366.5061261,30219.33934,1.62E-06,0.089098882,0
367.5041791,29118.62687,1.62E-06,0.089626902,0
368.5053134,29516.14925,1.61E-06,0.09096925,0
369.5061493,26126.02985,1.61E-06,0.091391009,0
370.5041141,29259.96997,1.60E-06,0.089892616,0
371.5035224,29365.04478,1.61E-06,0.089140766,0
372.5059524,30856.04167,1.60E-06,0.088516208,0
373.5055255,29105.73574,1.60E-06,0.090082673,0
374.5055952,29299.19643,1.60E-06,0.090987414,0
375.5038253,25917.31928,1.59E-06,0.091086914,0
376.5025,29738.83929,1.59E-06,0.090040519,0
377.506875,29756.16071,1.58E-06,0.088547727,0
378.5066667,30568.7988,1.58E-06,0.089049423,0
379.5078932,29265.2819,1.57E-06,0.089828572,0
380.5075,29649.36747,1.57E-06,0.090947271,0
381.5063393,26398.60119,1.57E-06,0.091006203,0
382.5060961,29521.71171,1.57E-06,0.089776692,0
383.5046567,29525.58209,1.56E-06,0.088925625,0
384.5060896,30691.64179,1.56E-06,0.088906528,0
385.505509,29889.91018,1.56E-06,0.089572578,0
386.5050149,29036.23881,1.55E-06,0.09115152,0
387.5049401,26578.38323,1.54E-06,0.090592345,0
388.505194,29329.9403,1.55E-06,0.090037583,0
389.5067164,30287.85075,1.54E-06,0.088894803,0
390.504955,30617.08709,1.54E-06,0.088659394,0
391.5048214,29269.85119,1.54E-06,0.089891602,0
392.5048649,28660.57057,1.53E-06,0.090688484,0
393.505119,26847.5,1.53E-06,0.090901929,0
394.5045045,29054.35435,1.53E-06,0.090162307,0
395.5046429,30066.10119,1.52E-06,0.088551133,0
396.5045946,30514.05405,1.52E-06,0.088997286,0
397.5032836,29247.16418,1.52E-06,0.089589354,0
398.5035928,29181.76647,1.52E-06,0.091138193,0
399.5046726,26612.70833,1.51E-06,0.090721888,0
400.5056886,29100.7485,1.52E-06,0.089603311,0
401.5038323,30129.67066,1.51E-06,0.088851742,0
402.5068546,30627.83383,1.51E-06,0.088740803,0
403.5064759,28963.55422,1.50E-06,0.089750109,0
404.505119,28772.79762,1.51E-06,0.090704676,0
405.5060479,26867.33533,1.50E-06,0.090635091,0
406.5056119,29016,1.49E-06,0.089524906,0
407.5055689,30347.69461,1.50E-06,0.088422516,0
408.5041018,30964.37126,1.49E-06,0.088779886,0
409.5060714,29281.42857,1.49E-06,0.089968983,0
410.5069162,29007.42515,1.49E-06,0.090729132,0
411.5050599,26831.43713,1.49E-06,0.09097897,0
412.5051045,29755.8806,1.49E-06,0.089699191,0
413.5046707,30659.01198,1.48E-06,0.088311666,0
414.5067262,30351.30952,1.48E-06,0.088701664,0
415.5054819,29128.79518,1.48E-06,0.089842031,0
416.5052819,28710.86053,1.47E-06,0.091100175,0
417.5072455,26991.64671,1.47E-06,0.091498485,0
418.5056287,29514.88024,1.47E-06,0.090097504,0
419.5056716,30512.53731,1.47E-06,0.089409351,0
420.5055988,31034.5509,1.46E-06,0.089390881,0
421.5044311,29508.50299,1.47E-06,0.09112362,0
422.5038806,28699.73134,1.46E-06,0.092096601,0
423.5031737,26846.01796,1.46E-06,0.091746808,0
424.5030448,29270.50746,1.45E-06,0.09087567,0
425.5048955,30196.71642,1.45E-06,0.089491315,0
426.5052994,30565.1497,1.45E-06,0.090124955,0
427.506369,29451.72619,1.45E-06,0.091022734,0
428.507515,28498.26347,1.45E-06,0.091953575,0
429.5047147,26925.85586,1.44E-06,0.092192952,0
